search_id,ndcg
10655,0.0
13321,0.0
75931,0.0
86207,0.0
92013,0.3656233288925999
104068,0.0
133272,0.0
143320,0.0
162310,0.0
176974,0.0
237654,0.5147377499607558
238213,0.4384092985217704
254405,0.43167207946918174
286621,0.3656233288925999
290995,0.0
295944,0.46798448298899264
333637,0.0
341098,0.3656233288925999
347293,0.0
399604,0.6404015779112125
432789,0.0
434883,0.0
448746,0.0
451531,0.3656233288925999
460975,0.0
465508,0.0
470908,0.0
479762,0.0
485825,0.0
494635,0.0
11034,0.0
13568,0.3656233288925999
59954,0.0
72030,0.0
76530,0.0
114723,0.0
121717,0.0
123349,0.0
123542,0.0
172427,0.0
188557,0.49418306451330957
196177,0.0
202334,0.0
214577,0.0
296970,0.5197142341886782
305790,0.0
316946,0.0
321122,0.0
330065,0.0
340949,0.3656233288925999
342632,0.0
347138,0.0
350065,0.0
355457,0.0
356764,0.0
369461,0.0
371907,0.0
381319,0.0
382440,0.0
397875,0.0
399210,0.0
412165,0.0
419507,0.42439503651389954
442657,0.0
442840,0.0
457580,0.0
459297,0.0
465526,0.0
480809,0.43167207946918174
24573,0.0
30241,0.0
33453,0.8154648767857287
41793,0.0
53556,0.47918254277381384
80637,0.39075653320092024
96080,0.0
110412,0.0
122058,0.0
133134,0.3732830003941271
183661,0.0
232462,0.0
234379,0.0
259605,0.0
261606,0.5709282136454872
268203,0.0
285114,0.0
312961,0.0
316202,0.0
320339,0.0
321338,0.0
338713,0.0
351181,0.0
388365,0.44836183544011915
396851,0.0
453825,0.0
461744,0.0
462834,0.0
488362,0.0
493078,0.44836183544011915
